chapter_num,chapter_title,heading_level,title,url
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 2: Create a Chessboard Template,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1575
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 3: Print the Current Chessboard,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1576
7,7 DICTIONARIES AND STRUCTURING DATA,4,Step 4: Manipulate the Chessboard,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1579
7,7 DICTIONARIES AND STRUCTURING DATA,3,Nested Dictionaries and Lists,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1581
7,7 DICTIONARIES AND STRUCTURING DATA,3,Summary,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1583
7,7 DICTIONARIES AND STRUCTURING DATA,3,Practice Questions,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1584
7,7 DICTIONARIES AND STRUCTURING DATA,3,Practice Programs,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1585
7,7 DICTIONARIES AND STRUCTURING DATA,4,Chess Dictionary Validator,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1586
7,7 DICTIONARIES AND STRUCTURING DATA,4,Fantasy Game Inventory,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1587
7,7 DICTIONARIES AND STRUCTURING DATA,4,List-to-Dictionary Loot Conversion,https://automatetheboringstuff.com/3e/chapter7.html#calibre_link-1588
8,8 STRINGS AND TEXT EDITING,2,8 STRINGS AND TEXT EDITING,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1590
8,8 STRINGS AND TEXT EDITING,3,Working with Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1591
8,8 STRINGS AND TEXT EDITING,4,String Literals,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1592
8,8 STRINGS AND TEXT EDITING,5,Double Quotes,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1593
8,8 STRINGS AND TEXT EDITING,5,Escape Sequences,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1594
8,8 STRINGS AND TEXT EDITING,5,Raw Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1595
8,8 STRINGS AND TEXT EDITING,5,Multiline Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1596
8,8 STRINGS AND TEXT EDITING,5,Multiline Comments,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1597
8,8 STRINGS AND TEXT EDITING,4,Indexes and Slices,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1598
8,8 STRINGS AND TEXT EDITING,4,The in and not in Operators,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1599
8,8 STRINGS AND TEXT EDITING,3,F-Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1600
8,8 STRINGS AND TEXT EDITING,3,F-String Alternatives: %s and format(),https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1601
8,8 STRINGS AND TEXT EDITING,3,Useful String Methods,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1602
8,8 STRINGS AND TEXT EDITING,4,Changing the Case,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1603
8,8 STRINGS AND TEXT EDITING,4,Checking String Characteristics,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1604
8,8 STRINGS AND TEXT EDITING,4,Checking the Start or End of a String,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1605
8,8 STRINGS AND TEXT EDITING,4,Joining and Splitting Strings,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1606
8,8 STRINGS AND TEXT EDITING,4,Justifying and Centering Text,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1607
8,8 STRINGS AND TEXT EDITING,4,Removing Whitespace,https://automatetheboringstuff.com/3e/chapter8.html#calibre_link-1608
